socks4://41.79.236.164:1080;GN
socks5://13.88.216.139:31974;US
socks5://96.9.88.190:33427;KH
socks5://211.141.57.13:7302;CN
socks4://88.255.102.114:1082;TR
socks4://129.205.244.158:1080;BW
socks5://218.88.241.10:7302;CN
socks5://61.174.68.160:7302;CN
socks5://221.10.166.50:7302;CN
114.93.179.130:11111;CN
socks5://221.10.172.234:7302;CN
47.93.239.66:1080;CN
socks4://203.205.29.108:5678;VN
socks4://197.250.15.87:5678;TZ
socks4://201.219.217.70:31337;CO
socks5://47.102.201.64:7890;CN
67.63.33.7:80;US
165.22.216.241:80;US
125.228.78.233:8080;TW
socks5://50.63.165.21:16870;US
socks4://46.214.161.163:4153;RO
66.94.120.161:443;US
106.107.201.205:80;TW
58.246.231.113:9002;CN
200.116.198.177:35184;CO
socks5://115.238.99.174:7302;CN
socks4://92.247.31.37:4145;BG
39.175.77.22:30001;CN
43.255.113.232:8084;KH
socks4://98.188.47.150:4145;US
187.73.68.14:53281;BR
socks5://222.134.135.254:7302;CN
socks5://81.68.255.248:1080;CN
socks5://50.63.165.21:23859;US
194.5.193.183:80;DE
36.134.91.82:8888;CN
socks5://116.212.152.95:33427;KH
socks5://51.222.12.245:10084;CA
195.138.73.54:44017;UA
139.59.126.78:3128;SG
socks5://98.162.96.52:4145;US
212.126.107.2:31475;IQ
socks5://72.195.34.42:4145;US
socks5://82.165.190.94:10003;DE
58.246.231.254:9002;CN
45.133.245.159:3128;RU
51.103.137.65:80;GB
146.56.103.219:80;JP
41.170.12.92:37444;MU
socks5://58.51.95.249:7302;CN
socks4://79.101.45.94:56921;RS
socks5://222.188.101.12:7302;CN
120.220.220.95:8085;CN
socks5://119.29.168.203:10705;CN
34.75.202.63:80;US
socks5://43.156.47.253:1080;CN
socks4://94.26.108.67:2580;BG
185.51.10.19:80;AT
socks5://103.40.102.176:8888;CN
111.3.118.247:30001;CN
164.132.106.217:8087;FR
43.255.113.232:8083;KH
socks5://218.64.85.211:7300;CN
socks5://8.210.203.231:20238;SG
socks4://60.250.159.191:61956;TW
