124.158.88.56:54555;MN
24.172.82.94:53281;US
socks4://213.16.81.182:35559;HU
socks4://1.10.189.133:50855;TH
socks4://78.140.7.239:40009;RU
socks5://143.248.55.62:5566;KR
socks4://220.174.210.128:4145;CN
94.228.204.229:9812;RU
socks5://221.224.44.91:7302;CN
socks5://103.239.52.191:33427;KH
socks5://117.86.185.24:20036;CN
socks5://174.64.199.79:4145;US
socks4://1.2.182.57:4145;TH
socks5://50.63.165.21:23859;US
socks5://117.89.30.217:23456;CN
154.236.184.70:1976;EG
socks5://103.72.144.203:18899;CN
socks5://72.206.181.103:4145;US
144.217.75.65:8800;CA
socks5://118.242.27.66:7300;CN
socks4://138.204.234.27:5678;BR
socks5://167.86.87.14:48808;DE
socks4://109.86.225.146:4145;UA
socks5://162.243.140.82:36611;US
socks5://121.226.122.42:20020;CN
socks4://119.18.159.34:4145;ID
socks4://139.5.133.132:4145;BD
socks4://45.249.101.1:56457;SG
socks5://43.132.255.64:57799;SG
socks5://85.15.65.70:1080;RU
socks5://54.37.232.254:25276;FR
58.246.231.254:9002;CN
socks4://72.195.34.58:4145;US
58.246.231.113:9002;CN
socks4://102.69.146.168:5678;NG
socks5://210.22.78.202:7300;CN
socks5://98.162.96.52:4145;US
socks4://200.85.95.234:4153;AR
85.25.91.156:5566;DE
socks4://213.240.224.24:5678;BG
socks5://165.154.63.122:23780;HK
socks5://72.210.208.101:4145;US
socks5://120.25.226.5:10705;CN
socks5://137.184.136.180:43211;US
socks5://23.236.70.32:8888;US
socks4://98.188.47.150:4145;US
socks5://138.197.208.39:9050;US
socks4://103.82.8.189:4153;BD
socks5://218.69.108.60:7302;CN
socks4://103.107.92.1:44578;IN
20.105.253.176:8080;US
2.188.166.25:3128;IR
92.242.254.24:53545;HR
178.88.185.2:3128;KZ
socks5://116.212.152.95:33427;KH
5.139.161.156:55443;RU
socks5://159.89.167.209:64398;US
socks5://47.102.134.140:22002;CN
socks4://200.0.247.82:4153;AR
103.86.187.242:23500;PH
socks5://51.254.44.184:52015;FR
socks5://61.153.62.163:7300;CN
socks5://104.131.8.62:32889;US
socks5://62.113.115.94:16072;RU
14.102.46.81:1337;IN
socks5://98.188.47.132:4145;US
socks5://45.79.205.226:8080;US
socks4://193.151.197.122:3629;RU
socks5://43.135.74.226:38081;SG
165.22.216.241:80;US
223.96.90.216:8085;CN
socks5://162.243.140.82:44060;US
socks5://24.249.199.4:4145;US
socks4://202.129.52.172:4153;TH
socks4://94.247.241.70:51006;RU
socks5://122.226.60.69:7302;CN
socks4://89.222.203.72:7080;RU
socks4://91.150.77.57:56921;RS
socks5://159.89.199.136:1080;US
socks5://72.210.252.137:4145;US
socks4://82.207.20.247:5678;UA
socks4://103.116.202.241:5678;ID
socks5://183.234.24.70:1081;CN
socks5://183.250.158.157:7302;CN
socks4://185.40.80.143:4153;CZ
socks5://104.131.8.62:12953;US
socks5://85.93.23.146:9300;DE
socks5://219.159.157.220:7302;CN
socks4://117.102.102.155:4153;ID
socks4://81.91.157.134:5678;IR
socks5://109.72.231.37:1080;RU
socks5://222.78.4.78:7300;CN
socks5://60.165.178.241:7302;CN
103.155.217.156:41476;VN
socks4://205.177.85.130:39593;US
171.35.164.211:8085;CN
socks5://195.2.71.201:16072;RU
socks4://115.127.75.26:7777;BD
socks5://98.162.25.23:4145;US
socks4://187.86.153.254:30660;BR
socks5://98.170.57.231:4145;US
socks4://103.199.157.145:41610;IN
socks4://38.114.64.121:48324;US
41.186.44.106:3128;RW
113.160.206.37:55138;VN
socks5://174.77.111.196:4145;US
socks5://152.32.164.22:16730;HK
107.151.182.247:80;US
176.56.107.122:33911;ES
socks5://149.202.189.147:44842;FR
socks4://36.67.14.151:5678;ID
socks4://36.67.63.239:38071;ID
47.91.149.178:8443;US
socks5://211.141.57.13:7300;CN
socks5://173.82.186.189:16644;US
socks5://72.195.114.184:4145;US
167.114.96.27:9300;CA
176.56.107.99:50374;ES
socks5://221.195.143.239:7300;CN
socks4://87.121.49.238:4145;BG
socks4://91.210.47.85:30806;RU
150.129.151.83:6666;IN
socks5://117.177.146.48:7302;CN
197.248.184.157:53281;KE
socks5://210.22.78.202:7302;CN
208.113.134.223:80;US
socks4://200.41.182.243:4145;AR
socks4://185.47.184.253:45463;HU
socks5://24.249.199.12:4145;US
socks5://61.132.47.18:54191;CN
socks5://82.165.190.94:10003;DE
socks4://178.212.65.61:3629;UA
socks4://185.217.183.229:5678;KZ
218.253.141.178:8080;HK
103.41.212.227:44759;BD
socks5://185.207.205.134:8001;NL
socks4://217.64.46.114:5678;FI
socks5://124.67.161.108:7302;CN
110.165.23.162:80;KR
socks5://222.88.201.225:7300;CN
socks5://142.11.212.93:44563;US
socks4://103.105.40.1:4145;IN
85.25.117.134:5566;DE
socks5://220.178.229.83:7302;CN
89.250.221.106:53281;RU
socks4://174.64.199.82:4145;US
socks5://211.136.100.154:7302;CN
socks4://103.10.59.73:4145;ID
socks5://112.6.128.165:7300;CN
socks4://105.27.143.174:4153;ZA
socks5://138.68.57.62:9050;US
socks4://139.5.29.97:36983;IN
socks5://117.7.198.219:5101;VN
socks5://47.240.90.137:10808;US
197.255.253.210:58136;NG
213.230.69.193:3128;UZ
176.56.107.98:44887;ES
socks5://213.136.86.14:25438;DE
socks4://93.116.254.90:1080;MD
socks5://60.12.72.206:7300;CN
socks5://122.226.60.69:7300;CN
socks5://103.148.72.144:51980;TW
213.222.34.200:53281;BG
socks4://187.44.110.157:4145;BR
128.0.179.234:41258;CZ
socks5://98.162.96.41:4145;US
socks5://119.91.250.25:6666;CN
175.106.17.62:57406;ID
socks4://197.255.253.33:5678;NG
socks5://107.150.5.0:23323;US
socks4://103.102.141.39:4145;ID
socks5://121.226.122.42:20025;CN
socks5://174.75.211.222:4145;US
12.218.209.130:53281;US
103.148.72.192:80;TW
socks5://72.195.114.169:4145;US
socks4://159.192.97.129:5678;TH
socks4://103.9.188.138:52269;KH
181.196.205.250:38178;EC
socks5://51.178.161.193:3130;FR
socks4://186.219.96.12:52017;BR
171.35.165.247:8085;CN
103.73.33.188:45003;IN
185.108.141.114:8080;BG
socks5://106.15.248.187:10705;CN
socks4://36.66.206.74:5678;ID
socks5://106.120.198.80:7302;CN
socks5://117.86.172.235:20010;CN
socks5://167.86.95.242:4628;DE
138.197.102.119:80;US
103.138.182.3:80;BD
socks5://13.75.95.61:34917;US
socks5://60.12.77.163:7302;CN
socks4://79.165.225.234:4153;RU
socks4://103.147.119.3:4145;ID
socks5://167.86.92.2:12258;DE
socks5://72.221.232.155:4145;US
socks5://163.172.189.73:21930;GB
socks4://213.149.137.24:4153;BG
socks5://61.191.215.117:7300;CN
socks5://166.111.52.139:4781;CN
socks4://202.79.40.97:36953;NP
182.72.150.242:8080;IN
socks4://180.211.179.150:40153;BD
socks5://58.221.186.107:7302;CN
socks5://72.217.216.239:4145;US
socks4://202.159.35.41:443;ID
socks5://161.97.73.188:54832;DE
socks4://187.103.0.25:5678;BR
